代码             信号日          入场日             评分     信号涨幅     次日开仓      +1日      +5日     +10日     +20日
--------------------------------------------------------------------------------------------------------------
688001.SH      20260617     20260618        63   +4.32%    72.50    +9.66%   +20.91%   +20.91%   +20.91%
688001.SH      20260618     20260622        57  +10.04%    81.00    +1.21%    +8.22%    +8.22%    +8.22%
000593.SZ      20260227     20260302        62   +9.99%    15.70    +5.86%    -9.62%    -7.32%    -0.38%
300769.SZ      20260430     20260506        75  +12.92%    72.34   +11.63%    +8.65%    +2.02%   -11.42%
688387.SH      20260506     20260507        47   +4.09%    20.38    +6.82%    +1.08%   -11.09%   -21.84%
002409.SZ      20260610     20260611        65  +10.00%   126.22    +5.36%   +18.97%   +49.42%   +49.42%
002409.SZ      20260611     20260612        65  +10.00%   140.01    -0.84%   +17.98%   +34.70%   +34.70%
600345.SH      20260508     20260511        69   +9.99%    60.11    -1.51%    -7.97%   -13.21%   -11.00%
000070.SZ      20260212     20260213        69   +9.98%    19.00    -4.21%    +3.47%   -13.32%   -28.42%
000070.SZ      20260508     20260511        63   +4.77%    22.12    -2.58%   -11.89%   -17.18%   -16.55%
002805.SZ      20260506     20260507        56  +10.02%    25.15    -1.99%    -2.31%    -9.03%   -18.61%
688126.SH      20260512     20260513        52   +4.42%    24.72    +1.01%   +18.57%   +13.55%   +32.08%
601958.SH      20260211     20260212        62   +7.08%    21.10    -2.18%   +16.26%   +16.49%   -10.24%
688331.SH      20260210     20260211        54   +5.23%   107.00    -2.80%    -7.48%   -13.08%   +13.86%
688331.SH      20260401     20260402        61  +11.83%   141.68    +5.24%    -4.38%    +5.95%    -9.87%
603888.SH      20260210     20260211        67  +10.02%    26.99    -8.82%   -15.52%   -20.75%   -22.56%
000767.SZ      20260327     20260330        61   +9.94%     4.97   -14.89%   -27.36%   -24.14%   -21.33%
300593.SZ      20260616     20260617        51   +8.46%    38.03    -2.58%   -14.02%   -20.96%   -20.96%

────────────────────────────────────────────────────────────────────────────────
三、严苛信号 各窗口平均收益统计
--------------------------------------------------------------------------------
  +1日: 平均收益   +1.91%  胜率   62.4%  最大   +3.64%  最大回撤   +0.19%  盘中最高均值   +7.07%
  +5日: 平均收益   +5.29%  胜率   55.7%  最大   +8.50%  最大回撤   +2.00%  盘中最高均值  +15.00%
  +10日: 平均收益   +7.99%  胜率   56.6%  最大  +11.75%  最大回撤   +4.15%  盘中最高均值  +21.49%
  +20日: 平均收益   +9.80%  胜率   52.6%  最大  +14.29%  最大回撤   +5.40%  盘中最高均值  +28.48%

────────────────────────────────────────────────────────────────────────────────
四、各股票严苛信号明细
--------------------------------------------------------------------------------

============================================================
  603629.SH  |  评分区间 67~67  |  均值 67.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260416      趋势确认    67   +8.98% +64.42% +87.80%   89.6  1.39

============================================================
  002297.SZ  |  评分区间 63~71  |  均值 66.7  |  严苛信号 3次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260416      趋势确认    63   +9.99% +41.15% +38.51%   93.5  9.05
  20260417      趋势确认    71  +10.01% +32.14% +31.93%   95.4  3.11
  20260623      趋势确认    66   +5.19%  -2.56%  -2.56%   92.9  1.90
  → +1日 均值= +6.75% 胜率=100.0% 最大=+14.40% 最小= +1.39%
  → +5日 均值=+12.72% 胜率= 66.7% 最大=+31.10% 最小= -2.56%
  → +10日 均值=+23.58% 胜率= 66.7% 最大=+41.15% 最小= -2.56%
  → +20日 均值=+22.63% 胜率= 66.7% 最大=+38.51% 最小= -2.56%

============================================================
  300390.SZ  |  评分区间 55~71  |  均值 63.0  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260410      趋势确认    55  +10.16% +35.86% +39.16%   80.9  2.13
  20260413      趋势确认    71  +17.42% +21.35% +22.21%   89.6  1.80
  → +1日 均值= +8.62% 胜率=100.0% 最大=+16.85% 最小= +0.39%
  → +5日 均值=+18.43% 胜率=100.0% 最大=+24.87% 最小=+11.98%
  → +10日 均值=+28.61% 胜率=100.0% 最大=+35.86% 最小=+21.35%
  → +20日 均值=+30.68% 胜率=100.0% 最大=+39.16% 最小=+22.21%

============================================================
  300395.SZ  |  评分区间 49~60  |  均值 54.5  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260226      趋势确认    49   +5.21% -10.62% -26.08%   86.2  1.49
  20260316      趋势确认    60   +4.17% -26.59% -14.14%   63.9  1.42
  → +1日 均值= -5.29% 胜率= 50.0% 最大= +1.62% 最小=-12.21%
  → +5日 均值=-18.59% 胜率=  0.0% 最大=-13.45% 最小=-23.73%
  → +10日 均值=-18.61% 胜率=  0.0% 最大=-10.62% 最小=-26.59%
  → +20日 均值=-20.11% 胜率=  0.0% 最大=-14.14% 最小=-26.08%

============================================================
  301526.SZ  |  评分区间 54~54  |  均值 54.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260423      趋势确认    54   +7.15% +39.27% +47.91%   76.1  1.84

============================================================
  920493.BJ  |  评分区间 59~59  |  均值 59.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260212      趋势确认    59  +14.07%  -2.89% -19.89%   84.8  3.54

============================================================
  688308.SH  |  评分区间 57~57  |  均值 57.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260512      趋势确认    57   +9.78% +39.16% +33.24%   71.4  1.61

============================================================
  688796.SH  |  评分区间 48~48  |  均值 48.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260402      趋势确认    48   +4.55%  -5.76%  -5.59%   82.7  1.49

============================================================
  688603.SH  |  评分区间 56~58  |  均值 57.0  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260428      趋势确认    56   +5.52% +48.25% +64.84%   67.0  1.88
  20260506      趋势确认    58   +6.52% +42.35% +71.68%   62.3  1.46
  → +1日 均值= -1.46% 胜率= 50.0% 最大= +0.98% 最小= -3.90%
  → +5日 均值=+36.47% 胜率=100.0% 最大=+48.00% 最小=+24.93%
  → +10日 均值=+45.30% 胜率=100.0% 最大=+48.25% 最小=+42.35%
