================================================================================
严苛版中线买点 回测报告（评分≥85分 + 6项过滤 + 回踩入场）
回测时间: 2026-06-27 22:20
入场方式: 信号后等待回踩MA10/MA20确认
过滤条件: 评分≥85 + 6项(量比0.5~2.5+趋势连续+MACD零轴张口+RSI60~85)
================================================================================

总计扫描: 191 只股票
累计交易日: 22906 天
严苛信号数: 635 个

────────────────────────────────────────────────────────────────────────────────
一、各股票评分统计
--------------------------------------------------------------------------------
代码                     评分范围     均值   S级     严苛信号
688603.SH      20260408     20260409        15  +12.57%    86.30    +2.29%    +9.11%    +7.53%   +52.68%
688603.SH      20260415     20260416        15  +13.12%    98.50    -1.17%    -5.79%    -5.36%   +57.46%
688603.SH      20260428     20260429         7   +5.52%    97.00    -3.90%   +24.93%   +48.25%   +64.84%
688603.SH      20260506     20260507         8   +6.52%   100.00    +0.98%   +48.00%   +42.35%   +71.68%
688603.SH      20260615     20260616        22  +20.00%   189.93    +3.26%    -9.49%    +4.68%    +4.68%
688603.SH      20260616     20260617         7   +5.36%   193.99    +0.34%    -3.95%    +2.48%    +2.48%
000792.SZ      20260224     20260225         8   +5.94%    35.92    +8.60%    +0.86%    +6.38%    +2.37%
000792.SZ      20260226     20260227        10   +7.76%    37.97    +0.47%    -3.11%    +4.29%    +3.90%
000792.SZ      20260327     20260330         8   +7.06%    39.58    -6.52%    -7.96%    -1.82%    -6.47%
002326.SZ      20260206     20260224        12  +10.02%    25.89    -0.42%   -12.71%   -10.16%   -15.72%
688787.SH      20260306     20260309        14  +11.77%   143.83    +4.29%    +9.09%    -9.95%   -16.18%
688787.SH      20260506     20260507         9   +7.76%   139.99    +2.83%    -0.49%    +1.94%    -7.06%
688787.SH      20260609     20260610        16  +13.34%   155.06    -1.33%    +1.50%    -9.39%   -15.79%
002812.SZ      20260421     20260422         7   +5.11%    75.08    -6.55%   +12.51%    +8.94%    -7.57%
002812.SZ      20260424     20260427        12  +10.01%    80.24    -2.16%    +6.32%    -5.56%   -10.51%
002812.SZ      20260427     20260428         6   +4.76%    80.86    +4.46%    +0.51%    -5.45%   -12.85%
300184.SZ      20260417     20260420         8   +5.87%    13.18    -4.17%    +2.58%   +15.02%    +7.28%
300184.SZ      20260507     20260508        10   +9.06%    14.82    +1.35%    -4.45%    -0.94%   +14.71%
300184.SZ      20260625     20260626         7   +5.21%    17.76    -2.76%    -2.76%    -2.76%    -2.76%
603699.SH      20260421     20260422         8   +4.76%    59.85    -2.56%    -0.20%    +9.81%    +1.25%
603699.SH      20260506     20260507         7   +5.51%    66.53    -4.96%    -6.81%    -4.19%   -14.66%
002386.SZ      20260429     20260430         6   +4.75%     7.21    -4.72%    -8.88%   -10.12%   -18.17%
002386.SZ      20260622     20260623        12   +9.98%     6.05    +0.66%    -2.31%    -2.31%    -2.31%
002384.SZ      20260409     20260410        12  +10.00%   132.30   +10.98%   +22.52%   +42.03%   +66.86%
002384.SZ      20260410     20260413        12   +8.83%   143.61    +1.66%    +9.32%   +30.00%   +49.63%
002384.SZ      20260616     20260617         5   +4.07%   255.12    +7.01%    +8.11%    +2.04%    +2.04%
002545.SZ      20260302     20260303        12   +9.99%    30.26    -5.55%   -12.95%   -21.58%   -27.73%
002545.SZ      20260427     20260428         8   +6.05%    23.85    +3.35%    +5.16%    +2.56%    -8.60%
688700.SH      20260407     20260408        10   +8.68%    57.97    +1.50%    +0.28%   +12.13%   +13.16%
600160.SH      20260601     20260602        11   +9.99%    37.20    +4.27%    +1.40%   +25.54%   +36.96%
600160.SH      20260602     20260603         7   +5.26%    38.16    +0.21%    +5.84%   +25.00%   +33.52%
