### EXPERIMENTS
=== L1_分歧定义候选  (28 rows)
               def              param     N  t3_med  t3_mean  t3_win  t3_pf   t3_ex  t3_exT   t3_cT  t5_med  t5_mean  t5_win  t5_pf   t5_ex  t5_exT   t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
V6_dvol_uvol_kd2  1.5~inf  1238   0.464    2.094    51.6  1.823  0.605     NaN   1.60  -1.126    1.030    44.6  1.308 -0.353     NaN  -1.30   -0.973     1.269     45.1   1.304   0.378      NaN   -0.42
     V1_vr20_kd3 -inf~0.6   120  -3.800   -0.610    23.3  0.854 -3.658     NaN  -2.15  -4.036    1.794    33.3  1.349 -3.264     NaN   0.19   -1.388     3.327     44.4   1.637  -0.037      NaN    0.95
     V1_vr20_kd3  0.6~0.7   193  -3.498   -3.069    19.7  0.270 -3.356     NaN  -9.56  -3.816   -2.881    31.6  0.429 -3.044     NaN  -5.34   -4.182    -2.545     34.2   0.574  -2.831      NaN   -4.47
     V1_vr20_kd3  0.7~0.8   415  -3.345   -3.162    24.6  0.252 -3.204     NaN -15.11  -4.201   -3.364    28.0  0.350 -3.428     NaN -10.14   -3.742    -2.513     38.0   0.579  -2.391      NaN   -6.46
     V1_vr20_kd3  0.8~0.9   759  -3.487   -3.573    23.6  0.210 -3.346     NaN -22.96  -4.081   -4.052    26.0  0.261 -3.309     NaN -17.77   -4.356    -4.118     31.7   0.379  -3.005      NaN  -13.98
     V1_vr20_kd3  0.9~1.0  1036  -3.023   -2.911    29.0  0.300 -2.881     NaN -21.73  -3.519   -3.174    30.0  0.359 -2.747     NaN -16.98   -3.665    -2.285     35.2   0.619  -2.314      NaN   -8.73
     V1_vr20_kd3  1.0~1.1  1340  -2.789   -2.571    30.2  0.348 -2.647     NaN -23.35  -3.206   -2.997    30.6  0.369 -2.434     NaN -19.27   -3.715    -2.636     34.0   0.553  -2.364      NaN  -12.45
     V1_vr20_kd3  1.1~inf 27305   0.451    2.265    52.4  1.845  0.592     NaN  33.79  -0.255    1.995    49.0  1.590  0.517     NaN  21.86   -0.967     1.881     46.2   1.424   0.384      NaN   10.73
     V2_vov0_kd3 -inf~0.5  2798  -4.975   -5.598    11.9  0.090 -4.834     NaN -54.99  -5.606   -5.773    14.7  0.147 -4.834     NaN -42.26   -5.970    -5.233     21.3   0.266  -4.620      NaN  -31.71
     V2_vov0_kd3  0.5~0.7  5605  -3.299   -3.528    24.8  0.210 -3.157     NaN -56.28  -3.890   -3.777    26.9  0.276 -3.117     NaN -44.93   -4.200    -3.128     31.7   0.475  -2.849      NaN  -28.37
     V2_vov0_kd3  0.7~0.9  5558  -1.326   -1.113    41.3  0.648 -1.185     NaN -28.08  -1.906   -1.293    39.3  0.677 -1.134     NaN -21.56   -2.612    -1.109     39.4   0.792  -1.261      NaN  -14.51
     V2_vov0_kd3  0.9~1.1  4139   0.681    1.297    54.1  1.554  0.822     NaN  -2.84   0.083    1.182    50.5  1.380  0.855     NaN  -1.55   -0.832     1.088     46.4   1.247   0.519      NaN   -1.66
     V2_vov0_kd3  1.1~1.3  2915   1.577    2.865    59.6  2.407  1.719     NaN   6.80   1.073    2.714    56.1  2.032  1.845     NaN   6.16    0.195     2.944     50.8   1.754   1.546      NaN    5.15
     V2_vov0_kd3  1.3~inf 10153   5.090    7.737    72.5  6.673  5.232     NaN  64.28   3.824    7.289    65.8  4.553  4.596     NaN  49.85    2.470     6.547     59.1   3.071   3.821      NaN   33.28
    V3_vovfd_kd3 -inf~0.5  8085  -3.742   -3.643    21.2  0.203 -3.600     NaN -68.58  -4.384   -4.051    22.4  0.244 -3.612     NaN -55.87   -4.719    -3.788     27.0   0.374  -3.368      NaN  -40.29
    V3_vovfd_kd3  0.5~0.7 11613  -1.328   -1.104    41.7  0.672 -1.186     NaN -39.09  -1.770   -1.399    40.5  0.662 -0.998     NaN -32.75   -2.352    -1.080     40.5   0.794  -1.001      NaN  -21.75
    V3_vovfd_kd3  0.7~0.9  5774   2.887    4.217    67.0  3.545  3.028     NaN  20.46   2.488    4.523    61.6  2.929  3.260     NaN  19.27    1.388     4.040     55.1   2.074   2.739      NaN   12.41
    V3_vovfd_kd3  0.9~1.1  2490   6.743    9.220    81.7 12.046  6.884     NaN  31.61   5.703    9.281    74.8  7.581  6.475     NaN  26.24    4.617     8.848     65.5   4.319   5.968      NaN   18.73
    V3_vovfd_kd3  1.1~1.3  1109   9.769   11.791    86.6 22.854  9.910     NaN  28.43   7.598   11.016    78.5 11.141  8.371     NaN  21.15    5.486     9.293     67.8   4.991   6.837      NaN   14.27
    V3_vovfd_kd3  1.3~inf  2097  13.112   15.522    91.9 35.354 13.254     NaN  48.41  10.698   14.267    81.6 15.010 11.470     NaN  34.93    8.102    13.717     72.0   8.349   9.453      NaN   23.55
      V4_run_kd3      0~1  5202   7.324    9.833    81.1 12.159  7.466     NaN  51.32   5.325    8.858    70.7  6.300  6.097     NaN  37.63    4.244     8.507     63.4   4.050   5.594      NaN   26.60
      V4_run_kd3      1~2  6805   2.614    4.580    65.0  3.590  2.756     NaN  24.47   1.416    4.113    57.6  2.597  2.189     NaN  18.24    0.607     3.781     52.1   1.984   1.958      NaN   12.43
      V4_run_kd3      2~3  6725  -1.874   -0.928    37.4  0.730 -1.733     NaN -25.69  -0.369    0.952    48.2  1.280  0.403     NaN  -3.63   -1.005     1.005     46.1   1.222   0.346      NaN   -2.54
      V4_run_kd3    3~inf 12465  -2.622   -2.010    33.9  0.494 -2.480     NaN -54.59  -3.727   -3.027    29.7  0.398 -2.955     NaN -55.04   -4.067    -2.822     32.4   0.521  -2.716      NaN  -39.46
V6_dvol_uvol_kd3 -inf~0.5  9472   4.041    6.973    73.4  8.208  4.183     NaN  55.34   4.889    9.120    74.8  9.868  5.661     NaN  63.26    4.275     8.829     65.9   5.053   5.626      NaN   45.27
V6_dvol_uvol_kd3  0.5~0.8  2865   1.056    3.407    56.0  2.590  1.198     NaN   8.90   2.245    4.742    61.7  3.511  3.017     NaN  15.61    1.466     4.504     55.4   2.436   2.817      NaN   10.90
V6_dvol_uvol_kd3  0.8~1.1  1350   0.244    2.092    52.1  2.047  0.386     NaN   1.70  -0.600    1.325    45.6  1.521  0.173     NaN  -0.40   -0.870     1.374     46.0   1.370   0.481      NaN   -0.18
V6_dvol_uvol_kd3  1.1~1.5  3262   0.223    1.243    51.4  1.572  0.364     NaN  -3.00  -1.768   -1.041    39.1  0.707 -0.995     NaN -16.73   -2.445    -1.162     39.3   0.761  -1.094      NaN  -12.50
V6_dvol_uvol_kd3  1.5~inf  8989  -2.377   -1.168    37.3  0.713 -2.236     NaN -31.50  -3.117   -2.244    33.9  0.519 -2.345     NaN -37.37   -3.409    -1.968     35.5   0.650  -2.058      NaN  -25.96
     V1_vr20_kd4 -inf~0.6   121  -3.830   -2.014    24.0  0.527 -3.689     NaN  -4.32  -4.636   -1.570    28.1  0.717 -3.864     NaN  -2.04   -2.932     0.670     39.8   1.118  -1.582      NaN   -0.44
     V1_vr20_kd4  0.6~0.7   229  -3.343   -3.222    20.1  0.180 -3.201     NaN -14.36  -4.354   -4.143    25.3  0.186 -3.581     NaN -11.40   -4.731    -3.721     30.3   0.414  -3.380      NaN   -6.98
     V1_vr20_kd4  0.7~0.8   504  -3.785   -3.987    21.0  0.168 -3.644     NaN -20.77  -4.806   -4.879    22.4  0.192 -4.034     NaN -16.98   -4.952    -4.614     31.0   0.333  -3.602      NaN  -12.31
     V1_vr20_kd4  0.8~0.9   860  -3.529   -3.642    25.1  0.205 -3.388     NaN -24.70  -4.585   -4.729    22.0  0.181 -3.813     NaN -23.03   -4.385    -3.815     31.0   0.418  -3.034      NaN  -12.97
     V1_vr20_kd4  0.9~1.0  1285  -3.095   -2.753    30.0  0.317 -2.953     NaN -24.66  -3.769   -3.598    27.7  0.295 -2.997     NaN -22.31   -4.378    -3.152     33.5   0.495  -3.027      NaN  -13.49
     V1_vr20_kd4  1.0~1.1  1588  -2.631   -2.757    30.4  0.322 -2.490     NaN -26.88  -3.745   -3.581    28.3  0.293 -2.973     NaN -25.18   -4.011    -3.021     33.8   0.505  -2.660      NaN  -15.28
     V1_vr20_kd4  1.1~inf 26581   0.557    2.435    53.0  1.926  0.699     NaN  40.71   0.012    2.271    50.1  1.691  0.785     NaN  32.10   -0.815     2.124     46.9   1.488   0.536      NaN   16.12
     V2_vov0_kd4 -inf~0.5  3332  -4.844   -5.521    12.8  0.069 -4.702     NaN -63.44  -5.757   -6.379    11.8  0.083 -4.984     NaN -55.65   -6.137    -5.769     19.8   0.203  -4.787      NaN  -39.75
     V2_vov0_kd4  0.5~0.7  5928  -3.026   -3.191    27.8  0.254 -2.884     NaN -54.73  -3.891   -3.849    26.5  0.254 -3.119     NaN -48.62   -4.175    -3.260     32.1   0.454  -2.825      NaN  -30.98
     V2_vov0_kd4  0.7~0.9  5576  -1.061   -0.863    42.9  0.716 -0.920     NaN -25.05  -1.726   -1.228    40.6  0.684 -0.953     NaN -21.44   -2.565    -0.938     39.4   0.821  -1.214      NaN  -13.39
     V2_vov0_kd4  0.9~1.1  4020   0.857    1.658    55.3  1.723  0.999     NaN  -0.05   0.580    1.562    53.0  1.540  1.353     NaN   0.80   -0.467     1.532     48.2   1.363   0.884      NaN    0.41
