### EXPERIMENTS
=== L1_分歧定义候选  (28 rows)
               def              param     N  t3_med  t3_mean  t3_win  t3_pf   t3_ex  t3_exT   t3_cT  t5_med  t5_mean  t5_win  t5_pf   t5_ex  t5_exT   t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
 C_分歧+缩量|GEM   GEM   124  -7.009   -6.344    21.0  0.155  -6.868     NaN  -8.78  -6.952   -5.566    25.2  0.266 -6.180     NaN  -6.99   -8.469    -3.645     32.2   0.570  -7.119      NaN   -3.25
  G_完整结构|GEM   GEM    18   1.507    1.285    62.5  1.519     NaN     NaN  -0.18  -1.812    3.018    46.7  1.960    NaN     NaN   0.58    0.412     0.646     53.8   1.133     NaN      NaN   -0.15
   B_分歧|MAIN  MAIN 24984  -0.053    1.562    49.7  1.629   0.089     NaN  -2.47  -0.513    1.376    47.6  1.435  0.260     NaN  -1.11   -1.021     1.293     45.7   1.307   0.330      NaN   -2.27
C_分歧+缩量|MAIN  MAIN  1930  -2.812   -1.474    28.8  0.590  -2.671     NaN -16.56  -2.704   -0.999    35.4  0.768 -1.932     NaN  -8.99   -2.483    -0.678     40.1   0.873  -1.132      NaN   -6.34
 G_完整结构|MAIN  MAIN   616  -1.020   -0.156    44.8  0.948  -0.265   -1.13  -5.31  -1.001   -0.699    43.4  0.823 -0.001    0.87  -4.72   -1.653    -1.634     40.6   0.703  -0.980    -0.28   -4.99
   B_分歧|STAR  STAR  1251  -0.380    1.600    48.8  1.353  -0.238     NaN  -0.16  -1.729    1.637    44.4  1.306 -0.956     NaN   0.41   -1.982     2.637     44.6   1.440  -0.631      NaN    1.94
C_分歧+缩量|STAR  STAR    85  -5.557   -4.940    18.8  0.199  -5.415     NaN  -7.94  -7.356   -6.292    18.8  0.228 -6.584     NaN  -5.80   -8.821    -7.792     23.5   0.248  -7.470      NaN   -6.12
 G_完整结构|STAR  STAR     8  -2.235   -5.970    14.3  0.024     NaN     NaN  -2.55  -5.577   -7.895    14.3  0.050    NaN     NaN  -2.34   -9.917   -13.344     20.0   0.084     NaN      NaN   -2.14

=== LAYER_市值档  (9 rows)
          def param    N  t3_med  t3_mean  t3_win  t3_pf  t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
   B_分歧|Large Large 7313   0.118    1.508    50.8  1.559  0.260     NaN  -1.51  -0.520    1.283    47.5  1.373  0.252     NaN  -1.15   -1.119     1.381     45.5   1.310   0.232      NaN   -0.36
C_分歧+缩量|Large Large  584  -3.176   -2.407    26.2  0.381 -3.034     NaN -13.05  -3.092   -2.456    32.1  0.490 -2.320     NaN  -9.37   -2.920    -1.912     38.8   0.667  -1.569      NaN   -6.13
 G_完整结构|Large Large  185  -1.285   -0.822    41.9  0.739 -0.556   -2.66  -4.45  -0.749   -0.815    45.9  0.795 -0.466   -1.15  -2.97   -1.957    -1.464     42.5   0.738  -0.719     0.05   -2.58
     B_分歧|Mid   Mid 7014  -0.350    1.540    48.2  1.520 -0.208     NaN  -1.09  -1.115    1.273    45.1  1.343 -0.343     NaN  -1.13   -1.820     1.132     43.2   1.233  -0.469      NaN   -1.72
  C_分歧+缩量|Mid   Mid  428  -3.525   -2.283    23.1  0.504 -3.384     NaN  -8.38  -4.071   -2.089    30.8  0.633 -3.299     NaN  -5.15   -4.607    -1.699     37.1   0.759  -3.256      NaN   -3.60
   G_完整结构|Mid   Mid  107   0.207    0.972    51.5  1.314  1.222    1.91  -0.66  -1.368   -0.246    41.7  0.942 -0.489   -0.10  -1.28   -2.470    -1.752     41.5   0.709  -2.244    -0.88   -1.82
   B_分歧|Small Small 6735  -0.738    1.770    46.1  1.524 -0.596     NaN   0.77  -1.587    1.206    43.5  1.289 -0.814     NaN  -1.42   -1.988     1.123     42.9   1.222  -0.637      NaN   -1.62
C_分歧+缩量|Small Small  300  -2.847   -0.058    30.3  0.986 -2.706     NaN  -2.08  -1.747    1.087    40.0  1.259 -0.974     NaN  -0.36   -1.982     1.500     44.3   1.305  -0.631      NaN    0.06
 G_完整结构|Small Small   83  -1.733   -0.819    40.0  0.775 -0.480   -0.44  -2.54  -1.804   -1.551    38.9  0.693 -1.563   -0.98  -2.06   -2.031    -2.961     30.8   0.519  -1.694    -0.32   -2.73

=== LAYER_换手档  (9 rows)
         def param    N  t3_med  t3_mean  t3_win  t3_pf  t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
   B_分歧|High  High 7299  -0.804    1.103    46.3  1.304 -0.662     NaN  -4.62  -1.816    0.564    42.4  1.124 -1.044     NaN  -6.02   -2.809     0.435     40.7   1.075  -1.458      NaN   -5.36
C_分歧+缩量|High  High  403  -3.911   -2.864    22.8  0.463 -3.769     NaN  -7.11  -3.778   -2.553    32.1  0.576 -3.006     NaN  -5.41   -4.559    -1.382     37.0   0.802  -3.208      NaN   -3.04
 G_完整结构|High  High   99  -1.730   -0.094    43.2  0.975 -0.203   -0.31  -1.70  -0.570   -1.040    46.7  0.785 -0.582    0.06  -1.95   -2.494    -3.283     34.5   0.528  -2.331    -1.02   -2.96
    B_分歧|Low   Low 6749   0.138    2.258    50.8  1.892  0.280     NaN   5.04  -0.409    2.070    48.2  1.656  0.363     NaN   4.44   -0.937     1.963     45.8   1.492   0.413      NaN    2.89
 C_分歧+缩量|Low   Low  404  -2.690   -0.502    30.4  0.848 -2.548     NaN  -4.60  -2.363   -0.183    36.4  0.955 -1.591     NaN  -2.49   -2.289    -0.556     41.2   0.894  -0.939      NaN   -2.77
  G_完整结构|Low   Low  125  -1.186   -0.959    44.4  0.720  0.274   -0.11  -3.62  -1.471   -1.696    38.9  0.624 -1.826   -2.05  -3.28   -3.167    -1.674     39.6   0.731  -3.090    -1.06   -1.93
    B_分歧|Mid   Mid 7014  -0.301    1.492    48.4  1.531 -0.159     NaN  -1.54  -0.941    1.189    46.0  1.336 -0.169     NaN  -1.79   -1.309     1.308     45.4   1.294   0.042      NaN   -0.77
 C_分歧+缩量|Mid   Mid  505  -3.024   -2.066    25.3  0.472 -2.882     NaN -10.33  -3.311   -1.781    32.3  0.629 -2.538     NaN  -6.11   -2.728    -1.215     40.1   0.789  -1.377      NaN   -4.00
  G_完整结构|Mid   Mid  151  -0.939    0.087    44.8  1.032  0.704    0.68  -2.30  -0.548    0.088    44.4  1.024 -0.237   -0.35  -1.33   -1.221    -1.004     43.4   0.785   0.444    -0.42   -2.15

### COST
=== COST_滑点  (8 rows)
             def     param   N  t3_med  t3_mean  t3_win  t3_pf  t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
F_分歧+缩量+结构未破+再启动 slip=0.0% 192  -1.066   -0.879   0.424  0.741  0.016   0.250    NaN  -1.357   -1.284   0.423  0.721  0.284   0.908    NaN   -1.798    -2.169    0.411   0.618   1.716    2.308     NaN
        G_F+量能确认 slip=0.0% 107  -1.430   -0.660   0.450  0.812  0.149   0.083    NaN  -1.506   -1.796   0.396  0.629 -0.079  -0.026    NaN   -2.569    -3.212    0.390   0.528  -0.388    0.876     NaN
F_分歧+缩量+结构未破+再启动 slip=0.1% 192  -1.266   -1.079   0.413  0.693 -0.184  -0.010    NaN  -1.557   -1.484   0.406  0.685  0.084   0.686    NaN   -1.998    -2.369    0.405   0.591   1.516    2.099     NaN
        G_F+量能确认 slip=0.1% 107  -1.630   -0.860   0.450  0.762 -0.051  -0.031    NaN  -1.706   -1.996   0.385  0.598 -0.279  -0.227    NaN   -2.769    -3.412    0.390   0.508  -0.588    0.782     NaN
F_分歧+缩量+结构未破+再启动 slip=0.2% 192  -1.466   -1.279   0.408  0.648 -0.384  -0.271    NaN  -1.757   -1.684   0.400  0.652 -0.116   0.463    NaN   -2.198    -2.569    0.392   0.565   1.316    1.890     NaN
        G_F+量能确认 slip=0.2% 107  -1.830   -1.060   0.440  0.715 -0.251  -0.145    NaN  -1.906   -2.196   0.374  0.569 -0.479  -0.429    NaN   -2.969    -3.612    0.364   0.488  -0.788    0.689     NaN
F_分歧+缩量+结构未破+再启动 slip=0.3% 192  -1.666   -1.479   0.402  0.606 -0.584  -0.532    NaN  -1.957   -1.884   0.383  0.620 -0.316   0.241    NaN   -2.398    -2.769    0.386   0.541   1.116    1.681     NaN
        G_F+量能确认 slip=0.3% 107  -2.030   -1.260   0.430  0.672 -0.451  -0.260    NaN  -2.106   -2.396   0.341  0.541 -0.679  -0.630    NaN   -3.169    -3.812    0.351   0.469  -0.988    0.596     NaN

### OOS file
=== OOS_分期  (28 rows)
           group     N  T3_med  T3_mean  T3_win  T3_pf  T3_ex  T3_exT  T3_buckets  T5_med  T5_mean  T5_win  T5_pf  T5_ex  T5_exT  T5_buckets  T10_med  T10_mean  T10_win  T10_pf  T10_ex  T10_exT  T10_buckets
          A_全部首板 13888   0.043    1.711  50.266  1.666  0.000     NaN         1.0  -0.490    1.487  47.738  1.456  0.000     NaN         1.0   -1.052     1.334   45.908   1.305   0.000      NaN          1.0
          A_全部首板 12699  -0.397    1.751  48.071  1.561  0.000     NaN         1.0  -1.099    1.537  45.188  1.403  0.000     NaN         1.0   -1.697     1.925   43.777   1.418   0.000      NaN          1.0
          A_全部首板  4668  -0.046    1.286  49.783  1.427  0.000     NaN         1.0  -0.756    0.956  47.180  1.243  0.000     NaN         1.0   -1.494     0.385   44.634   1.069   0.000      NaN          1.0
          A_全部首板 31255  -0.142    1.665  49.301  1.582  0.000     NaN         1.0  -0.772    1.430  46.616  1.399  0.000     NaN         1.0   -1.351     1.442   44.853   1.311   0.000      NaN          1.0
         B_第一次分歧 13873  -1.383   -0.510  40.826  0.842 -0.145  -3.107         5.0  -1.793   -0.784  39.647  0.803 -0.152  -2.483         5.0   -2.446    -0.901   40.101   0.825  -0.192   -2.776          5.0
         B_第一次分歧 12681  -1.934   -1.065  38.964  0.736 -0.221  -2.695         5.0  -2.520   -1.323  37.737  0.726 -0.282  -3.099         5.0   -2.918    -0.745   38.661   0.865  -0.269   -3.146          5.0
         B_第一次分歧  4643  -1.285   -0.520  42.302  0.848 -0.097  -1.326         4.0  -1.724   -1.023  42.397  0.773 -0.118  -2.813         4.0   -2.724    -1.542   40.562   0.750  -0.115   -2.448          4.0
         B_第一次分歧 31197  -1.585   -0.738  40.283  0.794 -0.185  -3.332         5.0  -2.050   -1.039  39.265  0.764 -0.195  -2.814         5.0   -2.662    -0.928   39.576   0.830  -0.219   -3.155          5.0
         C_分歧+缩量  1032  -0.874   -0.051  42.580  0.980  0.193     NaN         1.0  -1.034   -0.086  43.162  0.973  0.328     NaN         1.0   -1.699    -0.549   42.704   0.881   0.317      NaN          1.0
         C_分歧+缩量   684   0.268    0.895  52.485  1.379  1.596     NaN         2.0   0.999    2.017  55.117  1.718  2.409     NaN         2.0    1.176     2.289   54.399   1.616   2.759      NaN          2.0
         C_分歧+缩量   431  -1.407   -1.380  40.187  0.590 -0.181     NaN         1.0  -1.857   -1.611  42.389  0.642 -0.166     NaN         1.0   -2.072    -1.448   41.647   0.751   0.671      NaN          1.0
         C_分歧+缩量  2147  -0.594   -0.014  45.264  0.995  0.628     NaN         2.0  -0.589    0.282  46.825  1.085  0.869     NaN         2.0   -0.988     0.178   46.230   1.039   0.935      NaN          2.0
    D_分歧+缩量+结构未破   861  -0.779    0.010  43.206  1.005  0.294     NaN         1.0  -0.863   -0.035  44.135  0.988  0.487     NaN         1.0   -1.461    -0.546   43.488   0.877   0.564      NaN          1.0
    D_分歧+缩量+结构未破   560   0.422    1.111  53.750  1.501  1.795     NaN         2.0   1.130    2.209  56.429  1.832  2.599     NaN         2.0    1.842     2.627   56.964   1.775   3.383      NaN          2.0
    D_分歧+缩量+结构未破   313  -0.811   -0.302  44.516  0.881  0.415     NaN         1.0  -0.941   -0.758  46.602  0.794  0.750     NaN         1.0   -1.403    -0.275   44.951   0.942   1.340      NaN          1.0
    D_分歧+缩量+结构未破  1734  -0.393    0.310  46.852  1.135  0.848     NaN         2.0  -0.255    0.562  48.555  1.190  1.189     NaN         2.0   -0.558     0.531   48.118   1.128   1.345      NaN          2.0
     E_分歧+缩量+再启动   536  -0.839   -0.160  43.640  0.942 -0.412  -1.864        12.0  -1.247   -0.472  43.699  0.864 -0.088  -0.292        12.0   -1.261    -0.196   44.498   0.960   0.175    0.190         12.0
     E_分歧+缩量+再启动   412   0.367    0.924  53.283  1.378  1.152   1.148        12.0   0.326    1.072  52.062  1.335  1.018   1.582        12.0   -0.255     0.393   48.148   1.097   0.077    1.147         12.0
     E_分歧+缩量+再启动   226  -1.174   -0.738  41.860  0.786  0.557   1.214        12.0  -1.428   -1.273  41.667  0.730  0.342   0.833        11.0   -1.895    -1.631   41.758   0.720   1.171    1.259         11.0
     E_分歧+缩量+再启动  1174  -0.530    0.112  46.702  1.040  0.332   0.613        12.0  -0.629   -0.070  46.310  0.981  0.524   1.911        12.0   -0.943    -0.253   45.321   0.947   0.203    1.525         12.0
F_分歧+缩量+结构未破+再启动   482  -0.858   -0.172  43.261  0.936 -0.514  -2.879        12.0  -1.247   -0.391  43.567  0.885 -0.143  -0.080        12.0   -1.409    -0.378   43.421   0.923  -0.112   -0.078         12.0
F_分歧+缩量+结构未破+再启动   374   0.514    1.015  54.144  1.430  1.241   1.495        12.0   0.367    1.133  53.107  1.364  0.977   1.668        12.0   -0.323     0.381   47.840   1.094   0.095    1.215         12.0
F_分歧+缩量+结构未破+再启动   192  -1.266   -1.079  41.304  0.693  0.022   0.820         9.0  -1.557   -1.484  40.571  0.685  0.236   1.294         9.0   -1.998    -2.369   40.506   0.591   1.516    2.099          9.0
F_分歧+缩量+结构未破+再启动  1048  -0.504    0.089  46.819  1.033  0.314   0.225        12.0  -0.583   -0.033  46.502  0.991  0.526   2.411        12.0   -0.997    -0.458   44.548   0.904   0.065    1.172         12.0
     G_F+再启动量能确认   327  -0.922   -0.257  43.279  0.907 -0.602  -1.365        12.0  -1.325   -0.846  41.522  0.768 -0.717  -1.060        12.0   -1.608    -1.632   40.678   0.691  -1.045   -0.863         12.0
     G_F+再启动量能确认   209  -0.768    0.250  47.264  1.079  0.178  -0.448        12.0  -0.361    0.167  47.938  1.042 -0.350   0.205        12.0   -1.603    -0.955   42.105   0.821  -1.464   -0.425         12.0
     G_F+再启动量能确认   107  -1.630   -0.860  45.000  0.762  0.451   0.389         6.0  -1.706   -1.996  38.462  0.598  0.055   0.375         6.0   -2.769    -3.412   38.961   0.508  -0.588    0.782          6.0
     G_F+再启动量能确认   643  -1.020   -0.188  44.884  0.938 -0.362  -2.232        12.0  -1.041   -0.686  43.206  0.827 -0.219   0.508        12.0   -1.671    -1.676   40.909   0.699  -0.991   -0.454         12.0

=== WF_窗口  (56 rows)
           group    N  T3_med  T3_mean  T3_win  T3_pf  T3_ex  T3_exT  T3_buckets  T5_med  T5_mean  T5_win  T5_pf  T5_ex  T5_exT  T5_buckets  T10_med  T10_mean  T10_win  T10_pf  T10_ex  T10_exT  T10_buckets
          A_全部首板 3746  -0.255      NaN     NaN    NaN -0.411     NaN         NaN  -1.124      NaN     NaN    NaN -0.869     NaN         NaN   -1.479       NaN      NaN     NaN  -0.634      NaN          NaN
         B_第一次分歧 3738  -1.748      NaN     NaN    NaN -0.733  -2.690         NaN  -1.966      NaN     NaN    NaN -0.461  -2.758         NaN   -2.999       NaN      NaN     NaN  -1.101   -2.862          NaN
         C_分歧+缩量  197  -1.110      NaN     NaN    NaN -0.113     NaN         NaN  -2.018      NaN     NaN    NaN -0.776     NaN         NaN   -2.639       NaN      NaN     NaN  -0.953      NaN          NaN
    D_分歧+缩量+结构未破  163  -1.143      NaN     NaN    NaN -0.146     NaN         NaN  -1.981      NaN     NaN    NaN -0.739     NaN         NaN   -2.378       NaN      NaN     NaN  -0.693      NaN          NaN
     E_分歧+缩量+再启动   86  -1.732      NaN     NaN    NaN -0.971  -2.248         NaN  -2.929      NaN     NaN    NaN -2.205  -1.278         NaN   -3.497       NaN      NaN     NaN  -0.613   -0.109          NaN
F_分歧+缩量+结构未破+再启动   75  -1.807      NaN     NaN    NaN -1.193  -3.061         NaN  -4.101      NaN     NaN    NaN -2.687  -1.619         NaN   -3.843       NaN      NaN     NaN  -2.819   -1.397          NaN
     G_F+再启动量能确认   59  -1.843      NaN     NaN    NaN -1.237  -2.103         NaN  -2.929      NaN     NaN    NaN -2.533  -1.909         NaN   -3.709       NaN      NaN     NaN  -1.838   -0.855          NaN
          A_全部首板 6245  -0.792      NaN     NaN    NaN -0.668     NaN         NaN  -1.623      NaN     NaN    NaN -0.902     NaN         NaN   -2.158       NaN      NaN     NaN  -0.812      NaN          NaN
         B_第一次分歧 6231  -2.643      NaN     NaN    NaN -1.279  -1.029         NaN  -3.418      NaN     NaN    NaN -1.597  -1.570         NaN   -3.593       NaN      NaN     NaN  -0.905   -4.143          NaN
         C_分歧+缩量  345   1.558      NaN     NaN    NaN  2.858     NaN         NaN   3.715      NaN     NaN    NaN  5.490     NaN         NaN    3.914       NaN      NaN     NaN   6.404      NaN          NaN
    D_分歧+缩量+结构未破  273   2.188      NaN     NaN    NaN  3.485     NaN         NaN   3.953      NaN     NaN    NaN  5.538     NaN         NaN    4.371       NaN      NaN     NaN   6.911      NaN          NaN
     E_分歧+缩量+再启动  223   1.257      NaN     NaN    NaN  2.304   2.311         NaN   0.562      NaN     NaN    NaN  2.260   1.452         NaN   -0.229       NaN      NaN     NaN   1.436    2.623          NaN
F_分歧+缩量+结构未破+再启动  195   1.257      NaN     NaN    NaN  2.250   2.308         NaN   0.562      NaN     NaN    NaN  2.419   1.673         NaN   -0.483       NaN      NaN     NaN   1.267    0.626          NaN
     G_F+再启动量能确认   86  -1.266      NaN     NaN    NaN  1.188   1.016         NaN  -1.511      NaN     NaN    NaN  1.270   1.529         NaN   -2.473       NaN      NaN     NaN  -0.501   -0.315          NaN
          A_全部首板 6454  -0.029      NaN     NaN    NaN  0.544     NaN         NaN  -0.670      NaN     NaN    NaN  0.741     NaN         NaN   -1.248       NaN      NaN     NaN   0.718      NaN          NaN
         B_第一次分歧 6450  -1.316      NaN     NaN    NaN  0.686  -2.030         NaN  -1.905      NaN     NaN    NaN  0.447  -2.626         NaN   -2.343       NaN      NaN     NaN   0.652   -2.878          NaN
         C_分歧+缩量  339  -0.646      NaN     NaN    NaN  0.901     NaN         NaN  -0.579      NaN     NaN    NaN  1.241     NaN         NaN    0.210       NaN      NaN     NaN   2.560      NaN          NaN
    D_分歧+缩量+结构未破  287  -0.589      NaN     NaN    NaN  0.970     NaN         NaN  -0.017      NaN     NaN    NaN  1.828     NaN         NaN    0.527       NaN      NaN     NaN   2.761      NaN          NaN
     E_分歧+缩量+再启动  189  -0.255      NaN     NaN    NaN  0.741   1.144         NaN  -0.328      NaN     NaN    NaN  0.612   1.461         NaN   -0.255       NaN      NaN     NaN   0.408    1.751          NaN
F_分歧+缩量+结构未破+再启动  179   0.004      NaN     NaN    NaN  0.850   1.143         NaN   0.113      NaN     NaN    NaN  0.698   1.600         NaN   -0.146       NaN      NaN     NaN   0.933    2.477          NaN
     G_F+再启动量能确认  123  -0.162      NaN     NaN    NaN  0.939   0.744         NaN  -0.032      NaN     NaN    NaN  0.361   0.466         NaN   -0.855       NaN      NaN     NaN  -0.032    0.373          NaN
          A_全部首板 4668  -0.046      NaN     NaN    NaN  0.351     NaN         NaN  -0.756      NaN     NaN    NaN  0.343     NaN         NaN   -1.494       NaN      NaN     NaN   0.203      NaN          NaN
         B_第一次分歧 4643  -1.285      NaN     NaN    NaN  0.520  -1.080         NaN  -1.724      NaN     NaN    NaN  0.593  -2.252         NaN   -2.724       NaN      NaN     NaN  -0.033   -2.368          NaN
         C_分歧+缩量  431  -1.407      NaN     NaN    NaN -0.005     NaN         NaN  -1.857      NaN     NaN    NaN -0.331     NaN         NaN   -2.072       NaN      NaN     NaN  -0.501      NaN          NaN
    D_分歧+缩量+结构未破  313  -0.811      NaN     NaN    NaN  0.590     NaN         NaN  -0.941      NaN     NaN    NaN  0.585     NaN         NaN   -1.403       NaN      NaN     NaN   0.167      NaN          NaN
     E_分歧+缩量+再启动  226  -1.174      NaN     NaN    NaN  0.078   0.244         NaN  -1.428      NaN     NaN    NaN -0.569  -0.164         NaN   -1.895       NaN      NaN     NaN  -1.396   -1.301          NaN
F_分歧+缩量+结构未破+再启动  192  -1.266      NaN     NaN    NaN -0.395  -0.150         NaN  -1.557      NaN     NaN    NaN -0.633   0.072         NaN   -1.998       NaN      NaN     NaN  -1.039   -0.647          NaN
     G_F+再启动量能确认  107  -1.630      NaN     NaN    NaN  0.087   0.139         NaN  -1.706      NaN     NaN    NaN -0.772  -0.706         NaN   -2.769       NaN      NaN     NaN  -3.119   -0.442          NaN
          A_全部首板 3746  -0.255      NaN     NaN    NaN -0.411     NaN         NaN  -1.124      NaN     NaN    NaN -0.869     NaN         NaN   -1.479       NaN      NaN     NaN  -0.634      NaN          NaN
         B_第一次分歧 3738  -1.748      NaN     NaN    NaN -0.733  -2.690         NaN  -1.966      NaN     NaN    NaN -0.461  -2.758         NaN   -2.999       NaN      NaN     NaN  -1.101   -2.862          NaN
         C_分歧+缩量  197  -1.110      NaN     NaN    NaN -0.113     NaN         NaN  -2.018      NaN     NaN    NaN -0.776     NaN         NaN   -2.639       NaN      NaN     NaN  -0.953      NaN          NaN
    D_分歧+缩量+结构未破  163  -1.143      NaN     NaN    NaN -0.146     NaN         NaN  -1.981      NaN     NaN    NaN -0.739     NaN         NaN   -2.378       NaN      NaN     NaN  -0.693      NaN          NaN
     E_分歧+缩量+再启动   86  -1.732      NaN     NaN    NaN -0.971  -2.248         NaN  -2.929      NaN     NaN    NaN -2.205  -1.278         NaN   -3.497       NaN      NaN     NaN  -0.613   -0.109          NaN
F_分歧+缩量+结构未破+再启动   75  -1.807      NaN     NaN    NaN -1.193  -3.061         NaN  -4.101      NaN     NaN    NaN -2.687  -1.619         NaN   -3.843       NaN      NaN     NaN  -2.819   -1.397          NaN
     G_F+再启动量能确认   59  -1.843      NaN     NaN    NaN -1.237  -2.103         NaN  -2.929      NaN     NaN    NaN -2.533  -1.909         NaN   -3.709       NaN      NaN     NaN  -1.838   -0.855          NaN
          A_全部首板 6245  -0.792      NaN     NaN    NaN -0.668     NaN         NaN  -1.623      NaN     NaN    NaN -0.902     NaN         NaN   -2.158       NaN      NaN     NaN  -0.812      NaN          NaN
         B_第一次分歧 6231  -2.643      NaN     NaN    NaN -1.279  -1.029         NaN  -3.418      NaN     NaN    NaN -1.597  -1.570         NaN   -3.593       NaN      NaN     NaN  -0.905   -4.143          NaN
         C_分歧+缩量  345   1.558      NaN     NaN    NaN  2.858     NaN         NaN   3.715      NaN     NaN    NaN  5.490     NaN         NaN    3.914       NaN      NaN     NaN   6.404      NaN          NaN
    D_分歧+缩量+结构未破  273   2.188      NaN     NaN    NaN  3.485     NaN         NaN   3.953      NaN     NaN    NaN  5.538     NaN         NaN    4.371       NaN      NaN     NaN   6.911      NaN          NaN
     E_分歧+缩量+再启动  223   1.257      NaN     NaN    NaN  2.304   2.311         NaN   0.562      NaN     NaN    NaN  2.260   1.452         NaN   -0.229       NaN      NaN     NaN   1.436    2.623          NaN
F_分歧+缩量+结构未破+再启动  195   1.257      NaN     NaN    NaN  2.250   2.308         NaN   0.562      NaN     NaN    NaN  2.419   1.673         NaN   -0.483       NaN      NaN     NaN   1.267    0.626          NaN
     G_F+再启动量能确认   86  -1.266      NaN     NaN    NaN  1.188   1.016         NaN  -1.511      NaN     NaN    NaN  1.270   1.529         NaN   -2.473       NaN      NaN     NaN  -0.501   -0.315          NaN
          A_全部首板 6454  -0.029      NaN     NaN    NaN  0.544     NaN         NaN  -0.670      NaN     NaN    NaN  0.741     NaN         NaN   -1.248       NaN      NaN     NaN   0.718      NaN          NaN
         B_第一次分歧 6450  -1.316      NaN     NaN    NaN  0.686  -2.030         NaN  -1.905      NaN     NaN    NaN  0.447  -2.626         NaN   -2.343       NaN      NaN     NaN   0.652   -2.878          NaN
         C_分歧+缩量  339  -0.646      NaN     NaN    NaN  0.901     NaN         NaN  -0.579      NaN     NaN    NaN  1.241     NaN         NaN    0.210       NaN      NaN     NaN   2.560      NaN          NaN
    D_分歧+缩量+结构未破  287  -0.589      NaN     NaN    NaN  0.970     NaN         NaN  -0.017      NaN     NaN    NaN  1.828     NaN         NaN    0.527       NaN      NaN     NaN   2.761      NaN          NaN
     E_分歧+缩量+再启动  189  -0.255      NaN     NaN    NaN  0.741   1.144         NaN  -0.328      NaN     NaN    NaN  0.612   1.461         NaN   -0.255       NaN      NaN     NaN   0.408    1.751          NaN
F_分歧+缩量+结构未破+再启动  179   0.004      NaN     NaN    NaN  0.850   1.143         NaN   0.113      NaN     NaN    NaN  0.698   1.600         NaN   -0.146       NaN      NaN     NaN   0.933    2.477          NaN
     G_F+再启动量能确认  123  -0.162      NaN     NaN    NaN  0.939   0.744         NaN  -0.032      NaN     NaN    NaN  0.361   0.466         NaN   -0.855       NaN      NaN     NaN  -0.032    0.373          NaN
          A_全部首板 4668  -0.046      NaN     NaN    NaN  0.351     NaN         NaN  -0.756      NaN     NaN    NaN  0.343     NaN         NaN   -1.494       NaN      NaN     NaN   0.203      NaN          NaN
         B_第一次分歧 4643  -1.285      NaN     NaN    NaN  0.520  -1.080         NaN  -1.724      NaN     NaN    NaN  0.593  -2.252         NaN   -2.724       NaN      NaN     NaN  -0.033   -2.368          NaN
         C_分歧+缩量  431  -1.407      NaN     NaN    NaN -0.005     NaN         NaN  -1.857      NaN     NaN    NaN -0.331     NaN         NaN   -2.072       NaN      NaN     NaN  -0.501      NaN          NaN
    D_分歧+缩量+结构未破  313  -0.811      NaN     NaN    NaN  0.590     NaN         NaN  -0.941      NaN     NaN    NaN  0.585     NaN         NaN   -1.403       NaN      NaN     NaN   0.167      NaN          NaN
     E_分歧+缩量+再启动  226  -1.174      NaN     NaN    NaN  0.078   0.244         NaN  -1.428      NaN     NaN    NaN -0.569  -0.164         NaN   -1.895       NaN      NaN     NaN  -1.396   -1.301          NaN
F_分歧+缩量+结构未破+再启动  192  -1.266      NaN     NaN    NaN -0.395  -0.150         NaN  -1.557      NaN     NaN    NaN -0.633   0.072         NaN   -1.998       NaN      NaN     NaN  -1.039   -0.647          NaN
     G_F+再启动量能确认  107  -1.630      NaN     NaN    NaN  0.087   0.139         NaN  -1.706      NaN     NaN    NaN -0.772  -0.706         NaN   -2.769       NaN      NaN     NaN  -3.119   -0.442          NaN

### EDGE
=== EDGE_事件链 (52 rows)
                group period   cost     N  t3_med  t3_win  t3_pf  t3_ex  t5_med  t5_win  t5_pf  t5_ex  t10_med  t10_win  t10_pf  t10_ex
E_Q1_首次回撤2%_收盘位置>=0.6    ALL 0.255%  3545  -2.575    36.8  0.580 -1.070  -3.069    35.9  0.603 -1.287   -3.730     37.5   0.757  -1.364
E_Q1_首次回撤2%_收盘位置>=0.6  TRAIN 0.255%  1590  -2.211    37.9  0.620 -0.926  -2.604    36.5  0.631 -0.972   -3.672     37.4   0.716  -1.451
E_Q1_首次回撤2%_收盘位置>=0.6  VALID 0.255%  1393  -3.082    34.7  0.506 -1.453  -3.764    34.0  0.560 -1.733   -4.014     37.4   0.818  -1.518
E_Q1_首次回撤2%_收盘位置>=0.6    OOS 0.255%   562  -1.930    39.1  0.697 -1.150  -3.131    39.0  0.650 -1.491   -3.536     37.9   0.715  -0.900
