BBS 100 底部右侧突破买点（最新交易日）
════════════════════════════════════════════════════════════
惠云钛业 | 68.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
东晶电子 | 68.0 | B | Pullback | 不买 | 禁止：突破后放量跌回平台；大盘弱势
深圳机场 | 68.0 | B | Pullback | 不买 | 禁止：底部未确认；大盘弱势
锐捷网络 | 67.5 | B | Rebreakout | 不买 | 禁止：大盘弱势；单日暴涨过热
浙富控股 | 67.0 | B | Pullback | 不买 | 禁止：底部未确认；大盘弱势
华东重机 | 67.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
西部黄金 | 67.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
中顺洁柔 | 67.0 | B | Pullback | 不买 | 禁止：大盘弱势
常青科技 | 67.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
三峡水利 | 67.0 | B | Pullback | 不买 | 禁止：底部未确认；大盘弱势
第一医药 | 67.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远；单日暴涨过热
宝胜股份 | 67.0 | B | Pullback | 不买 | 禁止：大盘弱势
中金黄金 | 67.0 | B | Pullback | 不买 | 禁止：大盘弱势
中孚实业 | 67.0 | B | Pullback | 不买 | 禁止：大盘弱势；单日暴涨过热
华孚时尚 | 67.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
冠农股份 | 67.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
潞化科技 | 67.0 | B | Breakout | 不买 | 禁止：大盘弱势
中稀有色 | 67.0 | B | Pullback | 不买 | 禁止：大盘弱势
惠发食品 | 67.0 | B | Failed | 不买 | 突破失败
哈三联 | 67.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远；单日暴涨过热
东材科技 | 66.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
恺英网络 | 66.0 | B | Pullback | 不买 | 禁止：大盘弱势
厦门钨业 | 66.0 | B | Pullback | 不买 | 禁止：大盘弱势
优博讯 | 66.0 | B | Pullback | 不买 | 禁止：突破后放量跌回平台；大盘弱势
日联科技 | 66.0 | B | Rebreakout | 不买 | 禁止：大盘弱势；单日暴涨过热
宝地矿业 | 66.0 | B | Breakout | 不买 | 禁止：大盘弱势
敦煌种业 | 66.0 | B | Pullback | 不买 | 禁止：大盘弱势；单日暴涨过热
富森美 | 66.0 | B | Pullback | 不买 | 禁止：底部未确认；突破后放量跌回平台；大盘弱势
哈药股份 | 66.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远；单日暴涨过热
永和智控 | 66.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
直真科技 | 66.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
捷荣技术 | 66.0 | B | Breakout | 不买 | 禁止：大盘弱势
金山办公 | 65.0 | B | Pullback | 不买 | 禁止：大盘弱势
歌华有线 | 65.0 | B | Pullback | 不买 | 禁止：大盘弱势
双成药业 | 65.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
恒大高新 | 65.0 | B | Breakout | 不买 | 禁止：大盘弱势
开开实业 | 65.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远；单日暴涨过热
日发精机 | 65.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
奔图科技 | 65.0 | B | Pullback | 不买 | 禁止：大盘弱势
弘业期货 | 65.0 | B | Rebreakout | 不买 | 禁止：底部未确认；大盘弱势
金证股份 | 65.0 | B | Pullback | 不买 | 禁止：大盘弱势
华宇软件 | 65.0 | B | Rebreakout | 不买 | 禁止：突破后放量跌回平台；大盘弱势
山石网科 | 65.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
曲江文旅 | 65.0 | B | Breakout | 不买 | 禁止：大盘弱势
════════════════════════════════════════════════════════════
买点统计：首仓/最佳买点/加仓 0 只，观察 0 只，共 861 只
