ts_code,circ_mv,total_mv,turnover_rate,pe_ttm
920523.BJ,181690.5859,227117.6693,1.7201,16.6627
002199.SZ,337391.7879,355669.2923,0.764,
002758.SZ,453429.6585,453952.1866,1.5793,8.3924
688307.SH,1164537.332,1164537.332,6.7699,172.1422
603341.SH,1051008.2568,2063187.8625,3.6629,46.2193
300784.SZ,90565.7247,302895.7136,9.5225,64.664
688553.SH,710440.1513,876004.8,2.9988,388.7458
300109.SZ,873490.2141,944042.3216,2.5996,54.1261
000070.SZ,1752006.7988,1775863.5807,15.692,
300566.SZ,460841.3162,532858.6986,3.2926,26.4058
600227.SH,462491.1287,611319.422,12.0702,
688177.SH,814495.36,814495.36,0.5745,
601186.SH,7661161.503,9043974.639,0.5343,5.1374
600506.SH,452569.4252,452569.4252,3.8477,130.0947
300792.SZ,746205.7259,831905.925,3.377,73.6498
688155.SH,1271314.0604,1271314.0604,3.2768,28.5067
603332.SH,316732.2774,316732.2774,4.0084,38.228
301397.SZ,286815.4439,631991.3659,10.8508,48.9891
002645.SZ,1590707.8101,1786150.6246,6.3682,45.8438
300527.SZ,803248.5939,803248.5939,0.8528,569.655
688716.SH,255653.7335,444862.08,3.5435,3193.7624
000717.SZ,581654.6316,581722.9416,0.898,
688793.SH,208245.7502,208245.7502,2.8601,
300908.SZ,348861.621,412742.0,1.25,20.9417
601089.SH,973440.0,973440.0,0.484,22.4221
002168.SZ,312881.1838,312881.1838,1.5059,
300230.SZ,316800.717,409046.3608,2.2319,22.9456
000782.SZ,414061.4644,538279.9031,8.3494,
300600.SZ,363673.8173,363673.8173,2.0872,
002774.SZ,373061.0769,445774.7796,3.6013,76.2237
000972.SZ,293859.0436,293859.0436,0.8995,
000856.SZ,227454.0,227454.0,2.8811,185.9641
603896.SH,328688.4044,328688.4044,1.1795,
002430.SZ,2959239.0838,2960513.635,3.4729,29.9682
920152.BJ,147865.5813,200526.4017,4.8423,
688376.SH,1031296.073,1031296.073,2.8143,93.0232
002971.SZ,585879.4571,793234.23,10.5003,149.1666
301299.SZ,261600.139,354391.026,4.447,53.9518
301386.SZ,115110.0,358120.0,4.0672,39.0259
301587.SZ,196413.429,393955.179,9.5682,67.0508
688221.SH,853290.1715,853290.1715,4.7139,2464.5613
603931.SH,878256.4304,878256.4304,3.7906,73.1833
688567.SH,1625398.1671,1625398.1671,1.1501,
688530.SH,379038.246,869363.484,16.8229,4606.8093
301363.SZ,1242766.0166,1894341.0294,7.3383,65.801
920533.BJ,185987.7292,332515.8851,5.9532,96.4131
600301.SH,1624755.8536,3732780.6936,4.4157,45.0152
600170.SH,2337002.1527,2337002.1527,1.704,16.4864
600610.SH,698095.8044,1055205.4859,6.7451,190.3134
002215.SZ,811825.5863,1015684.7819,2.1831,13.088
600694.SH,614678.723,614678.723,1.9889,12.2916
600121.SH,509296.2319,509296.2319,4.3612,
920367.BJ,77812.247,131305.8963,2.4889,106.0642
000752.SZ,240811.5023,240811.5023,1.2534,16.6502
301272.SZ,145828.116,272328.2065,3.5934,73.4747
603014.SH,138612.376,1470912.0664,2.1812,30.1266
301606.SZ,1356785.1077,3411803.3347,3.6724,43.0804
601162.SH,3164053.1344,3707226.5661,1.817,281.0709
603216.SH,640679.13,640679.13,4.1228,100.2089
920808.BJ,1631487.7209,1677000.0084,2.0464,811.1283
601881.SH,9191896.9636,13875756.4629,0.6648,10.8201
002837.SZ,8858233.8107,9989442.7378,6.2357,207.0085
600503.SH,403777.08,403777.08,1.8424,
688008.SH,30389474.2187,32398078.1567,9.3917,126.6728
603181.SH,873630.8,873630.8,1.9016,19.5331
688669.SH,428185.3357,428185.3357,2.8997,
300242.SZ,312835.5549,312835.7254,3.5423,
002366.SZ,1409971.9007,1585674.4817,4.357,
600031.SH,17465717.8663,18950904.1447,0.991,22.5135
603033.SH,1180611.167,1202336.704,2.2873,
603499.SH,664799.8748,664799.8748,3.1376,62.893
603201.SH,300237.4587,302827.6769,1.5541,15.401
002541.SZ,921887.1282,1282054.0999,4.4596,19.9635
002478.SZ,605642.66,754873.9431,3.2968,17.236
300638.SZ,1276789.9824,2164532.8865,4.2222,90.5982
600660.SH,11358935.4888,14799855.57,0.5698,16.4551
600016.SH,12908212.8495,15936800.3347,0.6318,5.4327
601619.SH,1409683.3301,1686496.0788,3.7081,27.8318
300162.SZ,329159.6324,403568.6489,16.9852,
